"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1953-07-01T05:00:00.000Z","24.24","24.75","24.07","24.75","2.53","1.90","22,240,000"
"1953-08-03T05:00:00.000Z","24.84","24.84","23.32","23.32","-5.78","-6.40","23,890,000"
"1953-09-01T05:00:00.000Z","23.42","23.65","22.71","23.35","0.13","-0.49","27,150,000"
"1953-10-01T06:00:00.000Z","23.49","24.58","23.39","24.54","5.10","4.47","25,710,000"
"1953-11-02T06:00:00.000Z","24.66","24.76","24.25","24.76","0.90","0.27","26,640,000"
"1953-12-01T06:00:00.000Z","24.78","24.99","24.55","24.81","0.20","-0.42","36,150,000"
"1954-01-04T06:00:00.000Z","24.95","26.09","24.80","26.08","5.12","4.50","33,420,000"
"1954-02-01T06:00:00.000Z","25.99","26.30","25.81","26.15","0.27","-0.35","33,260,000"
"1954-03-01T06:00:00.000Z","26.25","26.94","26.25","26.94","3.02","2.40","44,050,000"
"1954-04-01T06:00:00.000Z","27.17","28.26","27.01","28.26","4.90","4.28","43,500,000"
"1954-05-03T05:00:00.000Z","28.21","29.19","28.21","29.19","3.29","2.67","41,900,000"
"1954-06-01T05:00:00.000Z","29.19","29.43","28.15","29.21","0.07","-0.55","42,230,000"
"1954-07-01T05:00:00.000Z","29.21","30.88","29.21","30.88","5.72","5.09","51,840,000"
"1954-08-02T05:00:00.000Z","30.99","31.21","29.83","29.83","-3.40","-4.02","56,900,000"
